,SID,SCAPN,SCSitus_NumNam,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Listing_broker_company
10702,S10703,GA Fulton 12-2270-0543-034,GA Fulton 401 Huntington Dr,35.0,,,,,,0.28556331100000004,2.0,33.08,411487.36,10/20/97,19200000.0,
10703,S10704,GA DeKalb S10704,GA DeKalb 26 Bouldercrest Ln,46.0,,,,,,0.241040537,3.0,51.17,537247.78,5/17/19,19200000.0,Marcus & Millichap
10704,S10705,GA Cobb 16-1135-0-009-0,GA Cobb 1805 Roswell Rd,44.0,7.97,,8738140.0,17150000.0,2010.0,0.353706567,3.0,37.28,574324.32,11/16/11,19125000.0,Cushman & Wakefield
10705,S10706,GA Gwinnett 6-215-193,GA Gwinnett 100 Chase Common Dr,32.0,,9.0,1442920.0,6807120.0,1998.0,0.246338217,2.0,50.51,542028.99,7/21/99,18700000.0,Pinnacle Realty Mgmt Co. - Hq
10706,S10707,GA Gwinnett 6-275-006,GA Gwinnett 6520 Hillandale Dr,46.0,,8.88,746640.0,17493000.0,2003.0,0.285493192,2.0,33.11,411751.61,6/18/04,18500000.0,HK Group
10707,S10708,GA Cobb 17-0800-001,GA Cobb 2560 Delk Rd,47.0,,10.78,1727250.0,7840000.0,1997.0,0.357133373,3.0,32.14,500000.0,4/10/98,18500000.0,Pinnacle Realty Mgmt Co. - Hq
10708,S10709,GA Cobb 17-0717-004,GA Cobb 875 Franklin Rd,33.0,,7.09,2057770.0,14520209.0,2004.0,0.36394985399999996,3.0,48.96,776234.63,1/27/05,18500000.0,
10709,S10710,GA Clayton 13-0105A-00A-001,GA Clayton 5724 Riverdale Rd,45.0,,,2010000.0,5976500.0,2017.0,0.39793932,2.0,44.28,767533.7,3/6/18,18230000.0,Cushman & Wakefield
10710,S10711,GA DeKalb 18-205-01-092,GA DeKalb 2515 Northeast Expy,52.0,7.0,,8238455.0,10976000.0,2013.0,0.304863758,2.0,45.72,607138.05,8/22/14,18032000.0,Cushman & Wakefield
10711,S10712,GA Gwinnett 6-205-016,GA Gwinnett 3100 Sweetwater Rd,29.0,,,6075970.0,26064400.0,2008.0,0.286174396,2.0,41.21,513698.63,4/6/10,18000000.0,
10712,S10713,GA DeKalb 16-0087-01-005,GA DeKalb 5959 Fairington Rd,48.0,,,566600.0,6521000.0,2008.0,0.319168764,2.0,31.77,441631.64,12/19/08,17864000.0,
10713,S10714,GA DeKalb 18-142-01-013,GA DeKalb 1281 Brockett Rd,48.0,,6.8,3950000.0,7900000.0,2015.0,0.35093092200000003,2.0,31.22,477211.8,2/18/16,17800000.0,Cushman & Wakefield
10714,S10715,GA Fulton 06-0367-0000-041,GA Fulton 501 River Mill Cor,39.0,,,3017000.0,22442300.0,2004.0,0.368884857,2.0,34.94,561467.6,8/20/04,17675000.0,
10715,S10716,GA DeKalb 16-055-02-002,GA DeKalb 421 Meadowood Dr,49.0,,,2168000.0,18800000.0,2009.0,0.501272797,2.0,25.22,550632.91,3/2/10,17400000.0,
10716,S10717,GA Cobb 17-0716-0-014-0,GA Cobb 1019 Franklin Rd,41.0,,,3550140.0,8500000.0,2014.0,0.36034310399999997,2.0,39.8,624774.94,8/12/15,17350000.0,Star Residential
10717,S10718,GA Gwinnett R6204-019,GA Gwinnett 3450 Breckinridge Blvd,34.0,,6.7,9461500.0,15800000.0,2011.0,0.259860789,2.0,49.43,559508.41,7/12/12,17300000.0,Cushman & Wakefield
10718,S10719,GA Fulton 21-5470-0973-652,GA Fulton 13125 Morris Rd,18.0,,,,,,0.352936904,3.0,23.84,366463.19,10/22/99,16795008.0,
10719,S10720,GA Fulton 14-0008-LL-023,GA Fulton 900 New Town Cir,45.0,,,5221800.0,8987400.0,,0.407779236,2.0,42.24,750335.57,2/19/14,16770000.0,Marcus & Millichap
10720,S10721,GA Gwinnett R6215-193,GA Gwinnett 100 Chase Common Dr,32.0,,6.5,5458500.0,13880000.0,2012.0,0.246338217,2.0,44.77,480434.78,11/8/13,16575000.0,
10721,S10722,GA DeKalb 18-312-02-001,GA DeKalb 2917 Dekalb Dr,47.0,,7.25,7061900.0,9453000.0,2012.0,0.290692661,3.0,42.2,534326.42,11/8/13,16500000.0,Newmark Knight Frank
10722,S10723,GA Fulton 09F-2301-0084-069-1,GA Fulton 4300 Flat Shoals Rd,32.0,,7.0,3960400.0,23879400.0,2007.0,0.237772717,3.0,35.04,362876.62,7/9/08,16500000.0,Newmark Knight Frank
10723,S10724,GA Gwinnett R6205-012,GA Gwinnett 3450 Breckinridge Blvd,34.0,,9.89,,,,0.259860789,2.0,46.88,530692.11,10/31/95,16409000.0,
10724,S10725,GA Gwinnett 6-191-071,GA Gwinnett 1355 Graves Rd,47.0,,,4480520.0,15722025.0,2007.0,0.283900038,3.0,44.36,548594.65,6/12/08,16200000.0,
10725,S10726,GA Cobb 17-0807-001,GA Cobb 2350 Cobb Pky,43.0,,12.39,3482362.0,14000000.0,1999.0,0.29472463600000004,3.0,37.62,482932.39,10/17/00,16100000.0,
10726,S10727,GA DeKalb 18-0312-02-001,GA DeKalb 2917 Dekalb Dr,47.0,,,6439600.0,14090500.0,2006.0,0.290692661,3.0,40.73,515798.25,6/23/06,15927850.0,Newmark Knight Frank
10727,S10728,GA DeKalb 16-055-02-002,GA DeKalb 421 Meadowood Dr,49.0,,6.84,1434620.0,8507420.0,2013.0,0.501272797,2.0,22.83,498417.72,1/30/15,15750000.0,Cushman & Wakefield
10728,S10729,GA DeKalb 16-006-01-005,GA DeKalb 1000 Hidden Chase,34.0,,5.1,3172000.0,6530526.0,2014.0,0.437146059,3.0,22.23,423242.86,8/18/15,15500000.0,Cushman & Wakefield
10729,S10730,GA Clayton 13-142C-00B-001,GA Clayton 330 Arrowhead Blvd,49.0,,10.69,420000.0,3993600.0,1999.0,0.360680289,2.0,27.94,438923.63,12/29/99,15300000.0,
10730,S10731,GA Fulton 13-0060-0000-054,GA Fulton 2135 Godby Rd,47.0,,8.5,428200.0,3602800.0,1999.0,0.42243694200000004,2.0,31.99,588687.96,3/30/00,15300000.0,Wiley Real Estate
10731,S10732,GA Gwinnett S10732,GA Gwinnett 100 Chase Common Dr,32.0,,,,,,0.246338217,2.0,40.86,438435.94,8/27/12,15126040.0,"CBRE, Inc"
10732,S10733,GA Fulton 13-0002-0000-063,GA Fulton 4031 Seven Oaks Ln,49.0,5.1,,10333100.0,19200200.0,2007.0,0.334860499,2.0,26.01,379458.64,5/18/07,15000000.0,
10733,S10734,GA Gwinnett 6-191-071,GA Gwinnett 1355 Graves Rd,47.0,,9.0,3862600.0,11875800.0,1999.0,0.283900038,3.0,39.98,494412.46,11/14/00,14600000.0,Gregg & Associates
10734,S10735,GA Cobb 17-0799-0-003-0,GA Cobb 2560 Delk Rd,47.0,7.5,,3534000.0,17670000.0,2011.0,0.357133373,3.0,24.63,383108.11,12/27/12,14175000.0,
10735,S10736,GA DeKalb 18-205-01-092,GA DeKalb 2515 Northeast Expy,52.0,,,8238455.0,10976000.0,2013.0,0.304863758,2.0,35.67,473737.37,1/30/14,14070000.0,Marcus & Millichap
10736,S10737,GA Fulton 13-0060-LL-053,GA Fulton 2135 Godby Rd,47.0,,,,,,0.42243694200000004,2.0,29.33,539630.63,7/14/17,14025000.0,Greystone Brown Real Estate Advisors
10737,S10738,GA Cobb 17-0873-0-001-0,GA Cobb 1557 Terrell Mill Rd,38.0,,,7575750.0,22278900.0,,0.212418188,2.0,39.57,366164.6,4/9/09,13614000.0,
10738,S10739,GA Cobb S10739,GA Cobb 2665 Favor Rd,49.0,,,,,,0.325513722,2.0,29.21,414199.36,12/2/16,13430000.0,
10739,S10740,GA Cobb 17-0651-001,GA Cobb 861 Franklin Rd,46.0,,10.52,2247500.0,9650000.0,1998.0,0.271370458,2.0,44.89,530646.32,7/31/00,13350000.0,CB Richard Ellis
10740,S10741,GA Clayton 13-142C-00B-001,GA Clayton 330 Arrowhead Blvd,49.0,,8.02,1750000.0,15209000.0,2003.0,0.360680289,2.0,24.1,378679.21,2/20/04,13200000.0,
10741,S10742,GA Clayton S10742,GA Clayton 5758 Highway 85,48.0,,,,,,0.289667087,2.0,31.8,401282.23,7/19/17,13053711.0,
10742,S10743,GA Fulton 13-0002-LL-063,GA Fulton 4031 Seven Oaks Ln,49.0,,11.19,,,,0.334860499,2.0,22.63,330039.34,1/24/97,13046455.0,Gables Residential
10743,S10744,GA Fulton 13-0060-0000-053,GA Fulton 2135 Godby Rd,47.0,,,1131900.0,12031300.0,2006.0,0.42243694200000004,2.0,27.18,500192.38,5/22/08,13000000.0,Transwestern
10744,S10745,GA Cobb 17-0807-0-001-0,GA Cobb 2350 Cobb Pky,43.0,,,2901968.0,7047360.0,2011.0,0.29472463600000004,3.0,30.37,389945.41,1/2/13,13000000.0,
10745,S10746,GA Cobb 17-0807-0-001-0,GA Cobb 2350 Cobb Pky,43.0,,,2901968.0,7047360.0,2011.0,0.29472463600000004,3.0,30.37,389945.41,1/2/13,13000000.0,
10746,S10747,GA Cobb 17-0799-0-003,GA Cobb 2560 Delk Rd,47.0,,,6084790.0,16393000.0,2005.0,0.357133373,3.0,22.59,351351.35,12/21/06,13000000.0,
10747,S10748,GA Gwinnett 6-191-071,GA Gwinnett 1355 Graves Rd,47.0,,,3283210.0,12167835.0,2004.0,0.283900038,3.0,35.46,438537.08,7/11/05,12950000.0,Newmark Knight Frank
10748,S10749,GA Gwinnett 6-214-044,GA Gwinnett 5651 Brook Hollow Pky,46.0,,,3028550.0,14764755.0,2004.0,0.35190809799999995,2.0,30.9,473693.1,4/5/05,12903400.0,
10749,S10750,GA Cobb S10750,GA Cobb 1661 Powder Springs Rd,,,,,,,2.73e-07,1.0,12851686.0,152595.15,4/5/13,12851686.0,
10750,S10751,GA DeKalb 18-205-01-092,GA DeKalb 2515 Northeast Expy,52.0,,,8911500.0,16872300.0,2010.0,0.304863758,2.0,32.33,429292.93,6/7/11,12750000.0,
10751,S10752,GA Fulton 17-0260-LL-076,GA Fulton 1021 Harwell Rd,48.0,,6.35,,,,0.296256458,2.0,27.73,357813.83,5/24/17,12570000.0,Berkadia Real Estate Advisors
