,Unnamed: 0_x,SCAPN,SCSitus_NumNam_x,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39,Unnamed: 0_y,SID,SCSitus_NumNam_y,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Price,Concession_value,NOI
1370,2137,NC Mecklenburg 025-281-07,NC Mecklenburg10320 Grobie Way,P10280,4,Charlotte,NC,28216,Mecklenburg,,N,23.1677,473,0.052000000000000005,0.0677,1068.0,0.0,0.0,,"Business Center, Clubhouse, Fitness Center, Property Manager on Site, Breakfast/Coffee Concierge, Car Wash Area, Dry Cleaning Service, Grill, Media Center/Movie Theatre, Planned Social Activities, Recycling, Walking/Biking Trails, Wi-Fi, Online Services",2013.0,,2015-12-15 00:00:00.000000000,21800000,17.72,,Wood Frame,,,,,,160.0,1.14,841.0,0.0,0.069,233.0,1.08,1119.0,0.0,0.069,80.0,1.15,1448.0,0.0,0.063,,,,,,33.6,35.4,812.0,36.8,795.0,12640.0,S12641,NC Mecklenburg 10320 Grobie Way,6.0,,0.052000000000000005,4477800.0,6000800.0,2012.0,0.31688540800000004,4.0,135.93,1876319.19,1970-01-01 00:00:00.000041600,43470000.0,43470000.0,0.0,2174830.4193928996
1371,2138,NC New Hanover R04918-001-007-000,NC New Hanover327 Guinevere Ln,P10281,4,Wilmington,NC,28403,New Hanover,,N,20.6076,372,0.061366151685393194,0.0242,995.0,0.004,1.8090000000000002,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Tennis Court, Basketball Court, Furnished Units Available, Gameroom, Guest Apartment, Package Service, Storage Space, Maintenance on site, Sundeck",2007.0,,2017-10-05 00:00:00.000000000,,6.78,,Wood Frame,,,,,,84.0,1.3,784.0,0.006,0.048,252.0,1.05,1025.0,0.004,0.02,36.0,1.02,1279.0,0.003,0.0,,,,,,30.4,31.7,4284.0,32.5,4430.0,12963.0,S12964,NC New Hanover 327 Guinevere Ln,12.0,,,3488500.0,31753449.0,2017.0,0.49119662399999997,3.0,,,1970-01-01 00:00:00.000043013,,31753449.0,127013.796,1785514.9575582866
1372,2140,NC Mecklenburg 043-092-08,NC Mecklenburg6225 Hackberry Creek Trl,P10283,4,Charlotte,NC,282690459,Mecklenburg,,N,36.15,426,0.0528,0.0728,977.0,0.0,1.8780000000000001,,"Business Center, Clubhouse, Fitness Center, Picnic Area, Playground, Property Manager on Site, Spa, Breakfast/Coffee Concierge, Cabana, Car Wash Area, Grill, Package Service, Pet Play Area, Planned Social Activities, Recycling, Trash Pickup - Curbside, Trash Pickup - Door to Door, Wi-Fi, Community-Wide WiFi, Online Services",1999.0,,2016-01-26 00:00:00.000000000,51900000,16.29,,Wood Frame,,,,,,210.0,1.29,794.0,0.0,0.071,196.0,1.07,1129.0,0.0,0.071,20.0,1.03,1406.0,0.0,0.1,,,,,,33.4,34.8,3062.0,36.0,2866.0,13057.0,S13058,NC Mecklenburg 6225 Hackberry Creek Trl,20.0,,0.0528,2362100.0,32267000.0,2014.0,0.26201408,3.0,125.79,1435684.65,1970-01-01 00:00:00.000042395,51900000.0,51900000.0,0.0,2820967.558239862
1373,2141,NC Henderson 1007531,NC Henderson824 Half Moon Trl,P10284,4,Hendersonville,NC,287929015,Henderson,,N,14.75,360,0.061366151685393194,0.0611,1042.0,0.006999999999999999,1.767,,"Clubhouse, Fitness Center, Grill, Storage Space",2012.0,,2014-12-19 00:00:00.000000000,,10.88,,Masonry,,,,,,108.0,1.22,827.0,0.006999999999999999,0.065,180.0,1.09,1057.0,0.006999999999999999,0.061,72.0,1.04,1327.0,0.006999999999999999,0.055999999999999994,,,,,,41.8,42.5,820.0,42.8,828.0,12950.0,S12951,NC Henderson 824 Half Moon Trl,7.0,,,1434700.0,21403600.0,2014.0,0.583889745,3.0,,,1970-01-01 00:00:00.000041992,,21403600.0,149825.19999999998,1314952.3296836112
1374,2144,NC Orange 9798268547,NC Orange5 Hamilton Rd,P10287,3,Chapel Hill,NC,27517,Orange,,N,68.7,396,0.059699999999999996,0.0707,839.0,0.0,0.467,,"Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Tennis Court, Video Patrol, Grill, Laundry Service, Planned Social Activities, Recycling",1950.0,,2011-02-10 00:00:00.000000000,35575000,15.99,,Masonry,,,,,,82.0,1.48,628.0,0.0,0.073,172.0,1.25,742.0,0.0,0.07,142.0,1.1,1077.0,0.0,0.07,,,,,,38.8,40.7,753.0,40.9,807.0,13109.0,S13110,NC Orange 5 Hamilton Rd,69.0,0.0653,0.059699999999999996,2971829.2258064514,,2010.0,0.11194384,1.0,132.74,647288.94,1970-01-01 00:00:00.000040584,35575000.0,35575000.0,0.0,2094489.7183034052
1375,2146,NC Wake 0774.16-74-7580-000,NC Wake841 Handsworth Ln,P10289,4,Raleigh,NC,27607,Wake,,N,25.23,350,0.0533,0.04,1009.0,0.0,2.109,,"Clubhouse, Fitness Center, Cabana, Gameroom, Recycling",2009.0,,2012-01-24 00:00:00.000000000,44200000,8.96,,Wood Frame,,,,,,176.0,1.69,798.0,0.0,0.04,150.0,1.39,1199.0,0.0,0.04,24.0,1.3,1373.0,0.0,0.042,,,,,,32.7,33.8,2534.0,35.2,2322.0,12634.0,S12635,NC Wake 841 Handsworth Ln,10.0,,0.0533,4445910.0,34489799.0,2011.0,0.321401469,3.0,125.13,1751882.68,1970-01-01 00:00:00.000040932,44200000.0,44200000.0,0.0,2207180.205208333
1376,2148,NC Wake 0773.11-55-6540-000,NC Wake101 Harlon Dr,P10291,3,Cary,NC,27511,Wake,,N,31.09,360,0.0492,0.09720000000000001,780.0,0.01,1.6640000000000001,,"24 Hour Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Spa, Tennis Court, Laundry Service",1985.0,2019.0,2018-10-25 00:00:00.000000000,37500000,12.47,,Wood Frame,,,,,,162.0,1.4,626.0,0.01,0.099,198.0,1.12,906.0,0.01,0.096,,,,,,,,,,,33.5,35.4,2656.0,36.6,2420.0,12686.0,S12687,NC Wake 101 Harlon Dr,34.0,,0.0492,5400000.0,28230306.0,2018.0,0.20731311100000002,3.0,133.57,1206175.62,1970-01-01 00:00:00.000043398,37500000.0,37500000.0,375000.0,1769793.974302171
1377,2148,NC Wake 0773.11-55-6540-000,NC Wake101 Harlon Dr,P10291,3,Cary,NC,27511,Wake,,N,31.09,360,0.057999999999999996,0.09720000000000001,780.0,0.01,1.6640000000000001,,"24 Hour Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Spa, Tennis Court, Laundry Service",1985.0,2019.0,2018-10-25 00:00:00.000000000,37500000,12.47,,Wood Frame,,,,,,162.0,1.4,626.0,0.01,0.099,198.0,1.12,906.0,0.01,0.096,,,,,,,,,,,33.5,35.4,2656.0,36.6,2420.0,12761.0,S12762,NC Wake 101 Harlon Dr,34.0,0.06,0.057999999999999996,3600000.0,18461659.0,2015.0,0.20731311100000002,3.0,104.18,940816.98,1970-01-01 00:00:00.000042297,29250000.0,29250000.0,292500.0,1666664.820558263
1378,2148,NC Wake 0773.11-55-6540-000,NC Wake101 Harlon Dr,P10291,3,Cary,NC,27511,Wake,,N,31.09,360,0.059000000000000004,0.09720000000000001,780.0,0.01,1.6640000000000001,,"24 Hour Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Spa, Tennis Court, Laundry Service",1985.0,2019.0,2018-10-25 00:00:00.000000000,37500000,12.47,,Wood Frame,,,,,,162.0,1.4,626.0,0.01,0.099,198.0,1.12,906.0,0.01,0.096,,,,,,,,,,,33.5,35.4,2656.0,36.6,2420.0,12803.0,S12804,NC Wake 101 Harlon Dr,34.0,,0.059000000000000004,3600000.0,18461659.0,2013.0,0.20731311100000002,3.0,86.55,781601.8,1970-01-01 00:00:00.000041688,24300000.0,24300000.0,243000.0,1368671.9096145325
1379,2148,NC Wake 0773.11-55-6540-000,NC Wake101 Harlon Dr,P10291,3,Cary,NC,27511,Wake,,N,31.09,360,0.037000000000000005,0.09720000000000001,780.0,0.01,1.6640000000000001,,"24 Hour Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Spa, Tennis Court, Laundry Service",1985.0,2019.0,2018-10-25 00:00:00.000000000,37500000,12.47,,Wood Frame,,,,,,162.0,1.4,626.0,0.01,0.099,198.0,1.12,906.0,0.01,0.096,,,,,,,,,,,33.5,35.4,2656.0,36.6,2420.0,12867.0,S12868,NC Wake 101 Harlon Dr,34.0,,0.037000000000000005,3600000.0,22716529.0,2009.0,0.20731311100000002,3.0,54.21,489546.48,1970-01-01 00:00:00.000040479,15220000.0,15220000.0,152200.0,482467.2131147542
