,SCAPN,SCSitus_NumNam,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39
5924,TX Harris 1311280010001,TX Harris14651 Philippine St,P16493,4,Houston,TX,770406963,Harris,,N,12.5,254,,5.12,1040.0,0.0,0.0,,"24 Hour Access, Business Center, Clubhouse, Fitness Center, Picnic Area, Playground, Property Manager on Site, Gated, Furnished Units Available, Grill, Pet Play Area, Planned Social Activities, Maintenance on site",2008.0,,,,19.66,,,,,,,,84.0,1.2,817.0,0.0,4.8,154.0,1.15,1132.0,0.0,4.6,16.0,1.17,1317.0,0.0,12.5,,,,,,37.2,37.4,2582.0,38.5,2612.0
5925,TX Tarrant 07250185,TX Tarrant907 Pinion Dr,P16494,3,Arlington,TX,76017,Tarrant,,N,20.61,250,,2.0,1144.0,0.4,5.0,,"Clubhouse, Fitness Center, Picnic Area, Playground, Gated, Basketball Court, Car Wash Area",1999.0,,,,23.06,,Masonry,,,,,,,,,,,134.0,1.1,1011.0,0.4,2.2,112.0,1.08,1299.0,0.4,1.8,4.0,0.73,1276.0,0.4,0.0,30.6,32.9,4510.0,34.6,4628.0
5926,TX Tarrant 04893875,TX Tarrant2403 Pioneer Pky,P16495,3,Grand Prairie,TX,750513527,Tarrant,,N,13.93,256,,1.17,813.0,0.9,1.367,,"Clubhouse, Fitness Center, Picnic Area, Property Manager on Site, Volleyball Court",1982.0,,08/21/13,"11,250,000",16.1,,Wood Frame,,,,,,152.0,1.09,700.0,1.1,1.3,104.0,0.97,977.0,0.8,1.0,,,,,,,,,,,28.8,31.3,1775.0,33.2,1840.0
5927,TX Hays R12193,TX Hays1800 Post Rd,P16496,4,San Marcos,TX,786667332,Hays,,N,36.59,252,,7.14,983.0,0.8,,,"Fitness Center, Laundry Facilities, Playground, Grill, Planned Social Activities",2010.0,,,,35.09,,Wood Frame,,,,,,12.0,1.25,674.0,0.8,8.3,132.0,1.06,898.0,0.8,6.8,96.0,0.92,1078.0,0.8,7.3,12.0,0.73,1479.0,0.8,8.3,27.7,28.8,2511.0,30.0,3004.0
5928,TX Bexar 17241-002-0030,TX Bexar7333 Potranco Rd,P16497,3,San Antonio,TX,78251    ,Bexar,,N,23.68,250,,2.0,1023.0,0.4,2.0,,"Clubhouse, Fitness Center, Laundry Facilities, Playground",2001.0,,11/16/16,,11.53,,Wood Frame,,,,,,,,,,,140.0,0.99,935.0,0.4,2.1,110.0,1.0,1136.0,0.4,1.8,,,,,,29.8,31.0,3884.0,32.6,3581.0
5929,TX Bexar 18288-105-0350,TX Bexar7727 Potranco Rd,P16498,4,San Antonio,TX,78251,Bexar,,N,11.225,256,,4.3,885.0,0.6,1.758,,"Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Gated, Breakfast/Coffee Concierge, Cabana, Grill, Package Service, Storage Space, Health Club Discount, Lounge, Maintenance on site, Sundeck",2012.0,,12/01/12,"27,600,000",12.49,,Masonry,,,,,,132.0,1.59,710.0,0.5,3.8,108.0,1.21,1028.0,0.5,3.7,16.0,1.16,1365.0,1.0,12.5,,,,,,30.1,31.7,3973.0,33.4,3818.0
5930,TX Bexar 16955-002-0030,TX Bexar8330 Potranco Rd,P16499,4,San Antonio,TX,78251,Bexar,,N,11.94,250,,5.6,931.0,0.7,,,"Business Center, Playground, Property Manager on Site, Spa, Gated, Volleyball Court",2005.0,,,,12.96,,,,,,,,90.0,1.02,721.0,0.8,6.7,112.0,0.9,985.0,0.7,6.3,48.0,0.85,1199.0,0.5,2.1,,,,,,32.0,33.2,2661.0,34.8,2657.0
5931,TX Harris 0342010000039,TX Harris3402 Preston Ave,P16500,3,Pasadena,TX,775052036,Harris,,N,10.8402,252,,4.37,761.0,0.0,1.175,,"Clubhouse, Fitness Center, Laundry Facilities, Playground, Spa, Tennis Court, Laundry Service, Pet Play Area, Planned Social Activities",1984.0,,09/28/18,"20,438,839",6.74,,Wood Frame,,,,,,128.0,1.09,629.0,0.0,4.7,100.0,1.16,849.0,0.0,4.0,24.0,1.16,1100.0,0.0,4.2,,,,,,37.6,37.1,3266.0,37.7,3154.0
5932,TX Harris 1290880000001,TX Harris12808 Queensbury Ln,P16501,5,Houston,TX,77024,Harris,,N,1.3076,250,,12.0,958.0,4.0,1.6480000000000001,,"Business Center, Fitness Center, Gated, Grill, Elevator",2010.0,,,,27.56,,Masonry,,,,,,160.0,1.76,795.0,4.3,11.9,74.0,1.58,1193.0,3.9,12.2,16.0,1.41,1507.0,3.4,12.5,,,,,,38.4,39.0,2435.0,39.8,2954.0
5933,TX Tarrant 05036488,TX Tarrant9053 Race St,P16502,4,Fort Worth,TX,761409426,Tarrant,,N,21.6,250,,4.8,1027.0,0.0,,,,2017.0,,,,32.03,,,,,,,,90.0,,850.0,,4.4,80.0,,1072.0,,5.0,80.0,,1182.0,,5.0,,,,,,30.3,32.0,2150.0,33.5,2232.0
