,SCAPN,SCSitus_NumNam,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39
10,GA Fulton 17-0150-0010-019,GA Fulton691 14th St,P11,4,Atlanta,GA,303185405,Fulton,,N,1.64,197,,6.6,856.0,0.7,1.5230000000000001,,"Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Spa, On-Site Retail, Package Service, Storage Space, Elevator, Lounge, Maintenance on site, Sundeck",2014.0,,08/01/16,"43,000,000",13.5,,Masonry,39.0,1.75,719.0,0.7,7.7,124.0,1.67,813.0,0.7,6.5,34.0,1.55,1171.0,0.7,5.9,,,,,,,,,,,27.6,30.1,9266.0,32.1,8435.0
11,GA Fulton 17-0106-0006-008-4,GA Fulton222 14th St,P12,3,Atlanta,GA,30309    ,Fulton,,N,2.2032,188,,2.66,898.0,0.0,0.638,,"Business Center, Courtyard, Fitness Center, Laundry Facilities, Property Manager on Site, Gated, Package Service, Recycling, Storage Space",2001.0,,,,0.57,12.0,Masonry,31.0,2.93,496.0,0.0,3.2,78.0,2.48,713.0,0.0,2.6,79.0,2.09,1238.0,0.0,2.5,,,,,,,,,,,36.0,37.1,11122.0,38.7,8636.0
12,GA Fulton 17-0148-LL-399-4,GA Fulton470 16th St,P13,4,Atlanta,GA,30318,Fulton,,N,2.32,172,,12.21,881.0,4.7,0.8140000000000001,,"Business Center, Controlled Access, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Corporate Suites, Car Wash Area, Furnished Units Available, Grill, Pet Play Area, Shuttle to Train, Wi-Fi, Elevator, Online Services",2007.0,,11/10/15,"29,240,000",15.15,,Masonry,,,,,,93.0,2.0,753.0,1.0,11.8,79.0,1.77,1031.0,8.3,12.7,,,,,,,,,,,26.9,29.2,9904.0,31.0,9058.0
13,GA Fulton 17-0108-0001-077-2,GA Fulton230 18th St,P14,4,Atlanta,GA,303631073,Fulton,,N,0.98,146,,7.53,955.0,0.9,0.0,,Controlled Access,2004.0,,12/30/18,"41,000,000",0.82,16.0,,59.0,,,0.6,5.1,21.0,1.63,1244.0,0.9,9.5,32.0,1.5,1401.0,0.9,9.4,34.0,1.43,2015.0,0.9,8.8,,,,,,31.6,33.4,11288.0,35.0,9271.0
14,GA Fulton 17-0108-0001-077-2,GA Fulton232 19th St,P15,4,Atlanta,GA,303631130,Fulton,,N,0.98,146,,7.53,1494.0,2.4,2.055,,"Controlled Access, Property Manager on Site, Package Service, Storage Space, Elevator, Maintenance on site",2007.0,,08/07/12,,0.8,16.0,Masonry,,,,,,11.0,1.76,1013.0,0.6,18.2,118.0,1.56,1401.0,2.8,6.8,17.0,1.2,2125.0,0.7,5.9,,,,,,32.0,33.1,8669.0,34.5,7151.0
15,GA Fulton 17-0073-LL-035-3,GA Fulton550 Abernathy Rd,P16,3,Atlanta,GA,30328,Fulton,,N,19.85,228,,7.89,1367.0,0.0,1.952,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Grill, Package Service, Storage Space, Sundeck",1971.0,2006.0,01/10/17,"31,000,000",26.39,,Wood Frame,,,,,,,,,,,176.0,1.11,1310.0,0.0,8.0,52.0,1.03,1560.0,0.0,7.7,,,,,,37.0,37.8,3472.0,38.7,3093.0
16,GA Fulton 17-0251-LL-065-4,GA Fulton2479 Abner Ter,P17,2,Atlanta,GA,30318    ,Fulton,,N,8.69,163,,7.36,842.0,0.8,0.0,,Planned Social Activities,1969.0,,11/24/10,"5,906,000",17.65,,,,,,,,42.0,1.28,790.0,0.8,7.1,121.0,1.38,860.0,0.8,7.4,,,,,,,,,,,31.0,33.2,2663.0,34.6,2491.0
17,GA Fulton 17-0030-0002-001-4,GA Fulton8075 Adair Ln,P18,2,Sandy Springs,GA,30350,Fulton,,N,0.0161,260,,8.08,1052.0,0.9,3.077,,"Business Center, Controlled Access, Fitness Center, Laundry Facilities, Picnic Area, Playground, Tennis Court, Grill, Sundeck",1984.0,,12/28/16,"23,550,000",30.58,,Wood Frame,,,,,,90.0,1.31,759.0,0.9,7.8,170.0,1.08,1207.0,0.9,8.2,,,,,,,,,,,33.5,34.6,4220.0,35.7,3527.0
18,GA Fulton P19,GA Fulton55 Alabama St,P19,4,Atlanta,GA,30303,Fulton,,N,,180,,,826.0,0.0,,,,2022.0,,,,0.38,8.0,,,,,,,45.0,,667.0,,,90.0,,838.0,,,45.0,,960.0,,,,,,,,33.8,35.1,8639.0,36.2,8254.0
19,GA Fulton 14-0077-0002-067-6,GA Fulton143 Alabama St,P20,4,Atlanta,GA,303033103,Fulton,,N,,112,,,1039.0,0.0,,,,2020.0,,,,0.16,8.0,,2.0,,589.0,,,41.0,,795.0,,,56.0,,1143.0,,,13.0,,1434.0,,,,,,,,32.1,34.2,10064.0,35.4,9662.0
