rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
10049,PTI-M2S Renewal-Gold-Korea-Mature-Direct VAR,{},0.085,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Gold,Korea-Mature,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10050,PTI-M2S Renewal-Platinum-ASEAN-Emerging-Direct VAR,{},0.115,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Platinum,ASEAN-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10051,PTI-M2S Renewal-Gold-ASEAN-Emerging-Direct VAR,{},0.085,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Gold,ASEAN-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10052,PTI-M2S Renewal-Platinum-Taiwan-Emerging-Direct VAR,{},0.115,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Platinum,Taiwan-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10053,PTI-M2S Renewal-Gold-Taiwan-Emerging-Direct VAR,{},0.085,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Gold,Taiwan-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10054,PTI-M2S Renewal-Platinum-Greater China-Emerging-Direct VAR,{},0.115,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Platinum,Greater China-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10055,PTI-M2S Renewal-Gold-Greater China-Emerging-Direct VAR,{},0.085,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Gold,Greater China-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10056,PTI-M2S Renewal-Platinum-Hong Kong-Emerging-Direct VAR,{},0.115,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Platinum,Hong Kong-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10057,PTI-M2S Renewal-Gold-Hong Kong-Emerging-Direct VAR,{},0.085,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Gold,Hong Kong-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10058,PTI-M2S Renewal-Platinum-Brazil-Emerging-Direct VAR,{},0.115,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Platinum,Brazil-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10059,PTI-M2S Renewal-Gold-Brazil-Emerging-Direct VAR,{},0.085,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Gold,Brazil-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10060,PTI-M2S Renewal-Platinum-Mexico-Emerging-Direct VAR,{},0.115,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Platinum,Mexico-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10061,PTI-M2S Renewal-Gold-Mexico-Emerging-Direct VAR,{},0.085,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Gold,Mexico-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10062,PTI-M2S Renewal-Platinum-MCO-Emerging-Direct VAR,{},0.115,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Platinum,MCO-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10063,PTI-M2S Renewal-Gold-MCO-Emerging-Direct VAR,{},0.085,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Gold,MCO-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10064,PTI-M2S Renewal-Platinum-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0.115,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Platinum,EMEA_USD_AFRICA-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
10065,PTI-M2S Renewal-Gold-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0.085,6000,PTI - Program Eligible Billing - M2S Renewal ,M2S Renewal,Gold,EMEA_USD_AFRICA-Emerging,Direct VAR,reseller,11/01/2020,01/31/2021,False,,100
