rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
50042,EIP Vertical-Subscription Renewal-Reseller-EMEA_USD_AFRICA-Emerging-Direct VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,EMEA_USD_AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50043,EIP Vertical-Subscription Renewal-Platinum-EMEA_USD_TURKEY-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,EMEA_USD_TURKEY-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50044,EIP Vertical-Subscription Renewal-Gold-EMEA_USD_TURKEY-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,EMEA_USD_TURKEY-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50045,EIP Vertical-Subscription Renewal-Reseller-EMEA_USD_TURKEY-Emerging-Direct VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,EMEA_USD_TURKEY-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50046,EIP Vertical-Subscription Renewal-Platinum-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,EMEA_USD_MEAMSD-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50047,EIP Vertical-Subscription Renewal-Gold-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,EMEA_USD_MEAMSD-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50048,EIP Vertical-Subscription Renewal-Reseller-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},0.09,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,EMEA_USD_MEAMSD-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50049,EIP Vertical-Subscription Renewal-Platinum-EMEA_USD_FR-AFRICA-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Platinum,EMEA_USD_FR-AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50050,EIP Vertical-Subscription Renewal-Gold-EMEA_USD_FR-AFRICA-Emerging-Direct VAR,{},0,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Gold,EMEA_USD_FR-AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
50051,EIP Vertical-Subscription Renewal-Reseller-EMEA_USD_FR-AFRICA-Emerging-Direct VAR,{},0.15,52000,EIP Vertical - Payout Eligible Billing - Subscription Renewal,Subscription Renewal,Reseller,EMEA_USD_FR-AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
