rate_id,description,description_data,rate,component_id,component_name,trnx_authorization_1,parent_partner_tier,parent_payout_region,contract_type_final,partner_type,start_date,end_date,standard_rate_only,domestic_ultimate_csn,precedence
30028,PPI-Subscription New-Platinum-Hong Kong-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30029,PPI-Subscription New-Gold-Hong Kong-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Hong Kong-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30030,PPI-Subscription New-Platinum-JPY-Mature-Direct VAR,{},"[{""start"":0,""value"":0.195},{""start"":0.5,""value"": 0.195},{""start"":1.0,""value"": 0.195}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30031,PPI-Subscription New-Gold-JPY-Mature-Direct VAR,{},"[{""start"":0,""value"":0.165},{""start"":0.5,""value"": 0.165},{""start"":1.0,""value"": 0.165}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,JPY-Mature,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30032,PPI-Subscription New-Platinum-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_MEAMSD-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30033,PPI-Subscription New-Gold-EMEA_USD_MEAMSD-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_MEAMSD-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30034,PPI-Subscription New-Platinum-EMEA_USD_RUSSIA-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_RUSSIA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30035,PPI-Subscription New-Gold-EMEA_USD_RUSSIA-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_RUSSIA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30036,PPI-Subscription New-Platinum-EMEA_USD_TURKEY-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_TURKEY-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30037,PPI-Subscription New-Gold-EMEA_USD_TURKEY-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_TURKEY-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30038,PPI-Subscription New-Platinum-EMEA_USD_AFRICA-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30039,PPI-Subscription New-Gold-EMEA_USD_AFRICA-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30040,PPI-Subscription New-Platinum-EMEA_USD_FR-AFRICA-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_FR-AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30041,PPI-Subscription New-Gold-EMEA_USD_FR-AFRICA-Emerging-Direct VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_FR-AFRICA-Emerging,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
30042,PPI-Subscription New-Platinum-USCanada-Indirect VAR,{},"[{""start"":0,""value"":0.185},{""start"":0.5,""value"": 0.185},{""start"":1.0,""value"": 0.185}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,USCanada,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30043,PPI-Subscription New-Gold-USCanada-Indirect VAR,{},"[{""start"":0,""value"":0.155},{""start"":0.5,""value"": 0.155},{""start"":1.0,""value"": 0.155}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,USCanada,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30044,PPI-Subscription New-Platinum-India-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,India-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30045,PPI-Subscription New-Gold-India-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,India-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30046,PPI-Subscription New-Platinum-ANZ-Mature-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,ANZ-Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30047,PPI-Subscription New-Gold-ANZ-Mature-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,ANZ-Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30048,PPI-Subscription New-Platinum-EMEA_EURO_EFTA_Mature-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_EURO_EFTA_Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30049,PPI-Subscription New-Gold-EMEA_EURO_EFTA_Mature-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_EURO_EFTA_Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30050,PPI-Subscription New-Platinum-EMEA_GBP_EFTA_Mature-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_GBP_EFTA_Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30051,PPI-Subscription New-Gold-EMEA_GBP_EFTA_Mature-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_GBP_EFTA_Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30052,PPI-Subscription New-Platinum-Brazil-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Brazil-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30053,PPI-Subscription New-Gold-Brazil-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Brazil-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30054,PPI-Subscription New-Platinum-Mexico-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Mexico-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30055,PPI-Subscription New-Gold-Mexico-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Mexico-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30056,PPI-Subscription New-Platinum-MCO-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,MCO-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30057,PPI-Subscription New-Gold-MCO-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,MCO-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30058,PPI-Subscription New-Platinum-ASEAN-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,ASEAN-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30059,PPI-Subscription New-Gold-ASEAN-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,ASEAN-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30060,PPI-Subscription New-Platinum-Taiwan-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Taiwan-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30061,PPI-Subscription New-Gold-Taiwan-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Taiwan-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30062,PPI-Subscription New-Platinum-Korea-Mature-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Korea-Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30063,PPI-Subscription New-Gold-Korea-Mature-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Korea-Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30064,PPI-Subscription New-Platinum-Greater China-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Greater China-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30065,PPI-Subscription New-Gold-Greater China-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Greater China-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30066,PPI-Subscription New-Platinum-Hong Kong-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,Hong Kong-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30067,PPI-Subscription New-Gold-Hong Kong-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,Hong Kong-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30068,PPI-Subscription New-Platinum-JPY-Mature-Indirect VAR,{},"[{""start"":0,""value"":0.195},{""start"":0.5,""value"": 0.195},{""start"":1.0,""value"": 0.195}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,JPY-Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30069,PPI-Subscription New-Gold-JPY-Mature-Indirect VAR,{},"[{""start"":0,""value"":0.165},{""start"":0.5,""value"": 0.165},{""start"":1.0,""value"": 0.165}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,JPY-Mature,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30070,PPI-Subscription New-Platinum-EMEA_USD_MEAMSD-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_MEAMSD-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30071,PPI-Subscription New-Gold-EMEA_USD_MEAMSD-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_MEAMSD-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30072,PPI-Subscription New-Platinum-EMEA_USD_RUSSIA-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_RUSSIA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30073,PPI-Subscription New-Gold-EMEA_USD_RUSSIA-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_RUSSIA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30074,PPI-Subscription New-Platinum-EMEA_USD_TURKEY-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_TURKEY-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30075,PPI-Subscription New-Gold-EMEA_USD_TURKEY-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_TURKEY-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30076,PPI-Subscription New-Platinum-EMEA_USD_AFRICA-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_AFRICA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30077,PPI-Subscription New-Gold-EMEA_USD_AFRICA-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_AFRICA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30078,PPI-Subscription New-Platinum-EMEA_USD_FR-AFRICA-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.18},{""start"":0.5,""value"": 0.18},{""start"":1.0,""value"": 0.18}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Platinum,EMEA_USD_FR-AFRICA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30079,PPI-Subscription New-Gold-EMEA_USD_FR-AFRICA-Emerging-Indirect VAR,{},"[{""start"":0,""value"":0.15},{""start"":0.5,""value"": 0.15},{""start"":1.0,""value"": 0.15}]",25000,PPI - Payout Eligible Billing - Subscription New,Subscription New,Gold,EMEA_USD_FR-AFRICA-Emerging,Indirect VAR,Reseller,11/01/2020,01/31/2021,False,,100
30080,PPI-Subscription Renewal-Platinum-USCanada-Direct VAR,{},"[{""start"":0,""value"":0.185},{""start"":0.5,""value"": 0.185},{""start"":1.0,""value"": 0.185}]",26000,PPI - Payout Eligible Billing - Subscription Renewal - On-Time,Subscription Renewal,Platinum,USCanada,Direct VAR,Reseller,11/01/2020,01/31/2021,False,,100
